,i,value,loop,type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14,0,105.982,14,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
15,0,110.133,15,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
16,0,91.126,16,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
17,0,91.508,17,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
18,0,92.815,18,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
19,0,98.735,19,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
20,0,89.894,20,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
21,0,95.63,21,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
22,0,108.803,22,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
23,0,97.353,23,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
24,0,94.687,24,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
25,0,93.877,25,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
26,0,100.056,26,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
27,0,112.837,27,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
28,0,111.65,28,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
29,0,115.0,29,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
30,1,70.0,0,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
31,1,122.495,1,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
32,1,73.24,2,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
33,1,99.621,3,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
34,1,73.024,4,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
35,1,82.224,5,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
36,1,119.065,6,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
37,1,77.322,7,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
38,1,97.515,8,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
39,1,78.852,9,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
40,1,117.578,10,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
41,1,115.256,11,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
42,1,98.143,12,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
43,1,85.065,13,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
44,1,79.514,14,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
45,1,105.141,15,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
46,1,105.305,16,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
47,1,120.373,17,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
48,1,111.369,18,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
49,1,128.492,19,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
50,1,91.147,20,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
51,1,114.589,21,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
52,1,87.985,22,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
53,1,119.551,23,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
54,1,123.31,24,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
55,1,125.319,25,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
56,1,101.555,26,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
57,1,74.299,27,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
58,1,120.938,28,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
59,1,130.0,29,MPM,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
60,2,0.0,0,WEAP,383.89953538500004,379.959226795,378.10046393,376.30731200499997,394.974006955,387.047606,379.448077875,377.16228143500007,391.796389955,382.83439968500005,387.0061493
61,2,0.316,1,WEAP,343.46211765778,339.93685498281997,338.27388176781994,336.6696085507,353.37007818396,346.27859142444,339.4795470055,337.43452108540004,350.52717025152,342.50917628996,346.24150161218
62,2,0.435,2,WEAP,328.234102754175,324.865139015575,323.27589671307504,321.742751870125,337.7027758936,330.92570302415,324.42810658312504,322.47375057400006,334.98591346445,327.3234117836,330.89025770442504
63,2,0.902,3,WEAP,268.47374174591,265.71815282478997,264.41825788479,263.16424708165005,276.21848875412,270.67529224317997,265.36068912725005,263.7621553738,273.99627548494,267.72885695612,270.64630052021005
64,2,0.371,4,WEAP,336.423959509055,332.97093583829496,331.342039935795,329.770641177325,346.12888804976,339.18271863438997,332.522998911125,330.5198792524,343.34423644237,335.49054563576004,339.146388881705
65,2,0.778,5,WEAP,284.34158920849,281.42313416880995,280.04641037881004,278.71828261435,292.54408105668,286.67325998802,281.04454301275,279.3515296882,290.19052625466,283.55267879468005,286.64255467619
66,2,0.69,6,WEAP,295.60264224645,292.56860480004997,291.13735731005,289.75663041175,304.1299852714,298.0266564521,292.17501996375006,290.41495662100004,301.68322034930003,294.78248784140004,297.99473504495
67,2,0.868,7,WEAP,272.82460314694004,270.02435738686,268.70339647186,267.4290632761,280.69486083708,275.06183178611997,269.66110067650004,268.03666123420004,278.43663456696004,272.06764681507997,275.03237020814004
68,2,0.154,8,WEAP,364.19269256857,360.45465319032996,358.69130680033,356.99020335955,374.69867457924,367.17916218785996,359.96974321075004,357.80128430260004,371.68417528938,363.18223385324006,367.13983365467004
69,2,0.983,9,WEAP,258.108454290515,255.459253721035,254.209545368535,253.00394967722502,265.55419055647997,260.22500686147,255.11559102462502,253.57877376520005,263.41777296601003,257.39232817448,260.197134498965
70,2,0.198,10,WEAP,358.56216604959,354.88191787471,353.14583333471,351.47102946085,368.90572247188,361.50246395581996,354.40450473525004,352.26957083620005,365.93782824206,357.56732932988,361.46374347029
71,2,0.78,11,WEAP,284.08565618489996,281.16982801809996,279.79434340309996,278.4674110735,292.2807650518,286.41522825019996,280.7915776275,279.100088167,289.92932866160004,283.2974558618,286.3845505769
72,2,0.793,12,WEAP,282.422091531565,279.523338038485,278.15590806098504,276.83674605797506,290.56921102008,284.73802195436997,279.147302623375,277.4657182792,288.23154430671,281.63850679808,284.70752393151497
73,2,0.622,13,WEAP,304.30436504851,301.18101392419,299.70763448419,298.28626280065004,313.08272943732,306.79973553798,300.77584306225003,298.96396834180007,310.56393851334,303.46006755932,306.76687442081
74,2,0.152,14,WEAP,364.44862559216006,360.70795934104,358.94337377603995,357.2410749004,374.96199058412,367.43719392568,360.222708596,358.0527258238001,371.94537288244004,363.43745678612004,367.39783775396006
75,2,0.967,15,WEAP,260.15591847923497,257.48570292671496,256.22608117421504,255.01092200402505,267.66071859552,262.28926076402996,257.139314106625,255.59030593480003,265.50735371049,259.43411163752,262.26116729328504
76,2,0.286,16,WEAP,347.30111301163004,343.73644724346997,342.05488640347,340.43268166345,357.31981825716,350.14906749173997,343.27402778425,341.2061439034,354.44513414742,346.3375202831601,350.11156310153
77,2,0.786,17,WEAP,283.31785711413,280.40990956597,279.03814247597,277.71479645095,291.49081703715996,285.64113303674,280.03268147175,278.34576360340003,289.14573588242,282.53178706316004,285.61053827903
78,2,0.752,18,WEAP,287.66871851516,284.71611412804,283.32328106304004,281.97961264540004,295.96718912012,290.02767257968,284.333093021,282.6202694638,293.58609496444,286.87057692212,289.99660796696
79,2,0.133,19,WEAP,366.87998931626504,363.114367772785,361.338010045285,359.62435453847496,377.46349263048,369.88849543496997,362.6258797558751,360.4414202752,374.42675001651,365.86207464848,369.848876697215
80,2,0.576,20,WEAP,310.19082459108,307.00705539052,305.50517492552,304.05630824020005,319.13899754956003,312.73446550783996,306.594046923,304.74712332940004,316.57148315372,309.33019501556004,312.70096870448003
81,2,0.077,21,WEAP,374.046113976785,370.20693999266496,368.395885365165,366.648757682275,384.83634076712,377.11338409393,369.70891054287506,367.48178286880005,381.74028262219,373.0083167691201,377.07299147733505
82,2,0.213,22,WEAP,356.64266837266507,352.982121744385,351.25533101688495,349.589492904475,366.93085243528003,359.56722592217,352.507264345875,350.3837594272,363.97884629411,355.65315733328003,359.52871272561504
83,2,0.856,23,WEAP,274.36020128847997,271.54419429112,270.21579832612,268.9342925212,282.27475686636,276.61002221304,271.17889298800003,269.5453103614,280.00382012532003,273.59898441236004,276.58039480388
84,2,0.789,24,WEAP,282.933957578745,280.02995033990493,278.66004201240503,277.33848913967506,291.09584302983995,285.25408543001,279.65323339387504,277.96860132160003,288.75393949283,282.14895266384,285.22353213009495
85,2,0.094,25,WEAP,371.87068327627003,368.05383771163,366.25331607162997,364.51634958505,382.59815472564,374.92011432246,367.55870476825004,365.34452993860003,379.52010308118,370.8389218396401,374.87995663337
86,2,0.923,26,WEAP,265.78644499821496,263.058438242335,261.77155463983496,260.53009590272507,273.45367070287995,267.96595899606996,262.704552582125,261.12201940119996,271.25370075781,265.04901616088,267.937257477665
87,2,0.655,27,WEAP,300.081470159275,297.00146243747497,295.548529384975,294.146882376625,308.7380153568,302.54221186394994,296.601914205625,294.81518324200005,306.25417822785,299.2488891668,302.509806782525
88,2,0.878,28,WEAP,271.54493802899,268.75782663331,267.44306159331,266.17470557185,279.37828081268003,273.77167309701997,268.39627375025003,266.77945362820003,277.13064660166,270.79153215068,273.74234971169
89,2,1.0,29,WEAP,255.93302358999998,253.30615143999998,252.066976075,250.87154158000004,263.316004515,258.03173709,252.96538525,251.44152083500003,261.19759342500004,255.222933245,258.004099655
90,3,0.0,0,WEAP,1185212257.9150002,1202015626.405,1155917332.0,1163674138.2599998,1173029625.175,1183114274.0500002,1194478951.6450002,1205264677.5549998,1216094402.39,1220935587.19,1245044836.1950002
91,3,0.148,1,WEAP,1272917965.02772,1290964782.73196,1241455214.5679998,1249786024.4912398,1259833817.4649599,1270664730.27568,1282870394.03972,1294454263.72108,1306085388.22088,1311284820.69608,1337178154.10044
92,3,0.838,2,WEAP,1681816194.1343203,1705660173.71576,1640246694.108,1651253602.1909401,1664529038.2762601,1678839154.5710802,1694965632.23132,1710270577.60348,1725637957.29728,1732507598.52848,1766718622.7136402
93,3,0.1,3,WEAP,1244472870.829,1262116407.707,1213713198.6,1221857845.1729999,1231681106.452,1242269987.716,1254202899.209,1265527911.4509997,1276899122.546,1281982366.586,1307297078.023
94,3,0.282,4,WEAP,1352327186.3324802,1371499829.67664,1318901675.8119998,1327752191.75466,1338426802.3761399,1349933386.58812,1362900483.77548,1375206997.14172,1387563713.2299201,1393087505.08672,1420596158.14996
95,3,0.071,5,WEAP,1227287293.08394,1244687181.12942,1196952397.286,1204984570.1682298,1214672176.88167,1225114830.75286,1236882954.41544,1248051573.6211598,1259265753.70076,1264278800.56116,1289243927.8928802
96,3,0.546,6,WEAP,1508775204.42544,1530165892.31392,1471482763.636,1481357178.00498,1493266712.9474201,1506104470.66636,1520571705.34444,1534301934.6271598,1548088174.44176,1554251002.6921601,1584942076.57588
97,3,0.519,7,WEAP,1492774838.9386601,1513938681.36238,1455877879.654,1465647577.13847,1477430813.00263,1490132427.97654,1504446239.50216,1518030861.47524,1531670899.99964,1537768372.2552397,1568133971.2823203
98,3,0.475,8,WEAP,1466700169.2565,1487494337.5895,1430447698.35,1440046746.09675,1451624161.2407498,1464103913.9635,1478167702.5740001,1491515038.5609999,1504916823.131,1510907789.3209999,1540742984.878
99,3,0.179,9,WEAP,1291288755.03106,1309596024.93558,1259371933.214,1267822973.63427,1278015776.6608298,1289003001.51214,1301384817.7845602,1313135866.2288399,1324934851.46924,1330209322.3088398,1356476349.06712
100,3,0.846,10,WEAP,1686557043.16744,1710468236.2199202,1644870363.4359999,1655908298.7439804,1669221156.77842,1683571611.66436,1699743548.03644,1715091636.3151598,1730502334.90976,1737391340.8801599,1771698802.05988
101,3,0.503,11,WEAP,1483293140.87242,1504322556.3540602,1446630540.998,1456338184.0323899,1468046575.9983099,1480667513.78998,1494890407.89192,1508388744.05188,1521942144.77468,1528000887.5518801,1558173612.58984
102,3,0.541,12,WEAP,1505812173.77974,1527160853.24882,1468592970.306,1478447992.6593301,1490334138.88357,1503146684.9830601,1517585507.9662402,1531288772.93236,1545047938.43396,1551198663.7223601,1581829464.4844801
103,3,0.648,13,WEAP,1569221029.59772,1591468689.24196,1530434547.568,1540704559.0562398,1553091223.84996,1566443298.60568,1581490131.85972,1595770433.2010798,1610108989.0008802,1616518717.67608,1648439363.2404401
104,3,0.004,14,WEAP,1187582682.43156,1204419657.65708,1158229166.664,1166001486.5365198,1175375684.42608,1185480502.59664,1196867909.5475602,1207675206.91084,1218526591.19624,1223377458.36584,1247534925.8681202
105,3,0.074,15,WEAP,1229065111.4713602,1246490204.56848,1198686273.284,1206730081.37562,1216431721.31998,1226889502.1628401,1238674672.84236,1249859470.6380398,1261089895.30544,1266110203.94304,1291111495.14772
106,3,0.663,16,WEAP,1578110121.53482,1600483806.4372602,1539103927.558,1549432115.0931902,1561888946.0415099,1575316655.6555798,1590448723.9943202,1604809918.2854798,1619229697.02428,1625675734.58548,1657777199.51464
107,3,0.663,17,WEAP,1578110121.53482,1600483806.4372602,1539103927.558,1549432115.0931902,1561888946.0415099,1575316655.6555798,1590448723.9943202,1604809918.2854798,1619229697.02428,1625675734.58548,1657777199.51464
108,3,0.419,18,WEAP,1433514226.0246599,1453837900.06038,1398082013.054,1407463870.22547,1418779331.72563,1430976714.31054,1444722291.9381602,1457767627.5792398,1470866179.84364,1476721592.85924,1505881729.4543202
109,3,0.933,19,WEAP,1738113776.40262,1762755915.95266,1695152767.378,1706528123.7582903,1720247945.48941,1735037082.55378,1751703382.41712,1767520649.8046799,1783402441.44548,1790502038.95468,1825858252.4502404
110,3,0.643,20,WEAP,1566257998.9520202,1588463650.17686,1527544754.238,1537795373.7105901,1550158649.78611,1563485512.9223802,1578503934.4815202,1592757271.50628,1607068752.99308,1613466378.70628,1645326751.14904
111,3,0.308,21,WEAP,1367734945.6901202,1387126032.81516,1333928601.128,1342879955.5520399,1353676187.50816,1365313872.14128,1378428710.1421201,1390875437.95468,1403372940.47048,1408959667.72968,1436781741.02524
112,3,0.077,22,WEAP,1230842929.8587801,1248293228.00754,1200420149.282,1208475592.5830097,1218191265.75829,1228664173.57282,1240466391.2692802,1251667367.65492,1262914036.91012,1267941607.32492,1292979062.40256
113,3,0.686,23,WEAP,1591740062.50504,1614306986.1367202,1552396976.876,1562814367.68318,1575378786.73522,1588922469.79876,1604185231.93404,1618670462.08156,1633214782.6601603,1639716493.84656,1672095215.13508
114,3,0.226,24,WEAP,1319141243.10064,1337843392.14752,1286535990.516,1295169315.88338,1305581972.86102,1316806186.9351602,1329455073.13964,1341459586.15996,1353513069.94256,1358901308.6249602,1385734902.72628
115,3,0.947,25,WEAP,1746410262.21058,1771170025.3349402,1703244188.702,1714673842.7261102,1728459152.8681898,1743318882.46702,1760064735.0760798,1775957502.55012,1791915102.2673202,1799048588.0701199,1834573566.30616
116,3,0.266,26,WEAP,1342845488.2662401,1361883704.66832,1309654337.156,1318442798.6485798,1329042565.37182,1340468472.40156,1353344652.1652403,1365564879.71836,1377834958.00496,1383320020.3833601,1410635799.4574802
117,3,0.581,27,WEAP,1529516418.9453402,1551201165.7696202,1491711316.946,1501721475.42453,1513794731.3943698,1526808970.44946,1541475086.9918401,1555394066.4907598,1569369826.49636,1575617375.4807599,1606730361.2156801
118,3,0.876,28,WEAP,1704335227.0416398,1728498470.61052,1662209123.4160001,1673363410.8178802,1686816601.16152,1701318325.7641602,1717660732.30564,1733170606.4839602,1748743750.9565601,1755705374.6989598,1790374474.6082802
119,3,1.0,29,WEAP,1777818387.055,1803023439.425,1733875998.0,1745511207.39,1759544437.945,1774671410.71,1791718427.285,1807897016.5149999,1824141603.95,1831403381.1499999,1867567254.4750001
120,4,0.05,0,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
121,4,0.125,1,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
122,4,0.113,2,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
123,4,0.078,3,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
124,4,0.142,4,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
125,4,0.103,5,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
126,4,0.074,6,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
127,4,0.136,7,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
128,4,0.108,8,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
129,4,0.063,9,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
130,4,0.084,10,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
131,4,0.074,11,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
132,4,0.077,12,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
133,4,0.106,13,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
134,4,0.065,14,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
135,4,0.068,15,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
136,4,0.15,16,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
137,4,0.137,17,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
138,4,0.069,18,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
139,4,0.071,19,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
140,4,0.08,20,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
141,4,0.077,21,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
142,4,0.071,22,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
143,4,0.099,23,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
144,4,0.093,24,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
145,4,0.097,25,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
146,4,0.124,26,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
147,4,0.066,27,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
148,4,0.052,28,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
149,4,0.15,29,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
150,5,240.0,0,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
151,5,452.865,1,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
152,5,298.116,2,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
153,5,265.683,3,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
154,5,398.215,4,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
155,5,343.138,5,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
156,5,367.68,6,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
157,5,362.393,7,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
158,5,330.799,8,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
159,5,240.617,9,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
160,5,294.665,10,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
161,5,316.389,11,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
162,5,443.487,12,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
163,5,261.728,13,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
164,5,478.248,14,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
165,5,276.169,15,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
166,5,402.217,16,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
167,5,449.261,17,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
168,5,253.783,18,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
169,5,364.555,19,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
170,5,445.128,20,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
171,5,269.521,21,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
172,5,335.722,22,WEAP,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
