,branch,variable,expression
112,Demand Sites and Catchments\New_Magma\Sugarbeets,Market Price,0
113,Demand Sites and Catchments\New_Magma\Sugarbeets,Fraction Wetted,0.6
114,Demand Sites and Catchments\New_Magma\Sugarbeets,Total Soil Thickness,2
115,Demand Sites and Catchments\New_Magma\Sugarbeets,Irrigation Efficiency,60
116,Demand Sites and Catchments\New_Magma\Sugarbeets,Loss to Groundwater,0
117,Demand Sites and Catchments\New_Magma\Sugarbeets,Soil Water Capacity,SoilLibrary(Loam)
118,Demand Sites and Catchments\New_Magma\Sugarbeets,Loss to Runoff,0
119,Demand Sites and Catchments\New_Magma\Sugarbeets,Minimum Depth,0
120,Demand Sites and Catchments\New_Magma\Sugarbeets,Target Depth,0
121,Demand Sites and Catchments\New_Magma\Sugarbeets,Maximum Infiltration Rate,243.8
122,Demand Sites and Catchments\New_Magma\Sugarbeets,Release Requirement,0
123,Demand Sites and Catchments\New_Magma\Sugarbeets,Maximum Percolation Rate,7315.2
124,Demand Sites and Catchments\New_Magma\Sugarbeets,Effective Precipitation,100
125,Demand Sites and Catchments\New_Magma\Sugarbeets,Fraction Covered,0
126,Demand Sites and Catchments\New_Magma\Sugarbeets,Direct Recharge to GW,0.0
127,Demand Sites and Catchments\New_Magma\Upland_Cotton,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Cotton.xlsx, A3:B12))*0.9678"
128,Demand Sites and Catchments\New_Magma\Upland_Cotton,Potential Yield,1622
129,Demand Sites and Catchments\New_Magma\Upland_Cotton,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Oct 25, % of RAW, 100, % Depletion, 100)"
130,Demand Sites and Catchments\New_Magma\Upland_Cotton,Market Price,0
131,Demand Sites and Catchments\New_Magma\Upland_Cotton,Fraction Wetted,0.6
132,Demand Sites and Catchments\New_Magma\Upland_Cotton,Total Soil Thickness,2
133,Demand Sites and Catchments\New_Magma\Upland_Cotton,Irrigation Efficiency,60
134,Demand Sites and Catchments\New_Magma\Upland_Cotton,Loss to Groundwater,0
135,Demand Sites and Catchments\New_Magma\Upland_Cotton,Soil Water Capacity,SoilLibrary(Loam)
136,Demand Sites and Catchments\New_Magma\Upland_Cotton,Loss to Runoff,0
137,Demand Sites and Catchments\New_Magma\Upland_Cotton,Minimum Depth,0
138,Demand Sites and Catchments\New_Magma\Upland_Cotton,Target Depth,0
139,Demand Sites and Catchments\New_Magma\Upland_Cotton,Maximum Infiltration Rate,243.8
140,Demand Sites and Catchments\New_Magma\Upland_Cotton,Release Requirement,0
141,Demand Sites and Catchments\New_Magma\Upland_Cotton,Maximum Percolation Rate,7315.2
142,Demand Sites and Catchments\New_Magma\Upland_Cotton,Effective Precipitation,100
143,Demand Sites and Catchments\New_Magma\Upland_Cotton,Fraction Covered,0
144,Demand Sites and Catchments\New_Magma\Upland_Cotton,Direct Recharge to GW,0.0
145,Demand Sites and Catchments\New_Magma\Barley,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Barley.xlsx, A3:B12))"
146,Demand Sites and Catchments\New_Magma\Barley,Potential Yield,6257
147,Demand Sites and Catchments\New_Magma\Barley,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, Jun 9, % of RAW, 100, % Depletion, 100)"
148,Demand Sites and Catchments\New_Magma\Barley,Market Price,0
149,Demand Sites and Catchments\New_Magma\Barley,Fraction Wetted,0.6
150,Demand Sites and Catchments\New_Magma\Barley,Total Soil Thickness,2
151,Demand Sites and Catchments\New_Magma\Barley,Irrigation Efficiency,60
152,Demand Sites and Catchments\New_Magma\Barley,Loss to Groundwater,0
153,Demand Sites and Catchments\New_Magma\Barley,Soil Water Capacity,SoilLibrary(Loam)
154,Demand Sites and Catchments\New_Magma\Barley,Loss to Runoff,0
155,Demand Sites and Catchments\New_Magma\Barley,Minimum Depth,0
156,Demand Sites and Catchments\New_Magma\Barley,Target Depth,0
157,Demand Sites and Catchments\New_Magma\Barley,Maximum Infiltration Rate,243.8
158,Demand Sites and Catchments\New_Magma\Barley,Release Requirement,0
159,Demand Sites and Catchments\New_Magma\Barley,Maximum Percolation Rate,7315.2
160,Demand Sites and Catchments\New_Magma\Barley,Effective Precipitation,100
161,Demand Sites and Catchments\New_Magma\Barley,Fraction Covered,0
162,Demand Sites and Catchments\New_Magma\Barley,Direct Recharge to GW,0.0
163,Demand Sites and Catchments\New_Magma\Winter_Wheat,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Winter Wheat.xlsx, A3:B12))"
164,Demand Sites and Catchments\New_Magma\Winter_Wheat,Potential Yield,5738
165,Demand Sites and Catchments\New_Magma\Winter_Wheat,Irrigation Schedule,"IrrigationSchedule(1, Dec 1, May 29, % of RAW, 100, % Depletion, 100)"
166,Demand Sites and Catchments\New_Magma\Winter_Wheat,Market Price,0
167,Demand Sites and Catchments\New_Magma\Winter_Wheat,Fraction Wetted,0.6
168,Demand Sites and Catchments\New_Magma\Winter_Wheat,Total Soil Thickness,2
169,Demand Sites and Catchments\New_Magma\Winter_Wheat,Irrigation Efficiency,60
170,Demand Sites and Catchments\New_Magma\Winter_Wheat,Loss to Groundwater,0
171,Demand Sites and Catchments\New_Magma\Winter_Wheat,Soil Water Capacity,SoilLibrary(Loam)
172,Demand Sites and Catchments\New_Magma\Winter_Wheat,Loss to Runoff,0
173,Demand Sites and Catchments\New_Magma\Winter_Wheat,Minimum Depth,0
174,Demand Sites and Catchments\New_Magma\Winter_Wheat,Target Depth,0
175,Demand Sites and Catchments\New_Magma\Winter_Wheat,Maximum Infiltration Rate,243.8
176,Demand Sites and Catchments\New_Magma\Winter_Wheat,Release Requirement,0
177,Demand Sites and Catchments\New_Magma\Winter_Wheat,Maximum Percolation Rate,7315.2
178,Demand Sites and Catchments\New_Magma\Winter_Wheat,Effective Precipitation,100
179,Demand Sites and Catchments\New_Magma\Winter_Wheat,Fraction Covered,0
180,Demand Sites and Catchments\New_Magma\Winter_Wheat,Direct Recharge to GW,0.0
181,Demand Sites and Catchments\New_Magma\Other_Hay,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Other Hay.xlsx, A3:B12))"
182,Demand Sites and Catchments\New_Magma\Other_Hay,Potential Yield,9226
183,Demand Sites and Catchments\New_Magma\Other_Hay,Irrigation Schedule,"IrrigationSchedule(1, Jan 1, May 15, % of RAW, 100, % Depletion, 100)"
184,Demand Sites and Catchments\New_Magma\Other_Hay,Market Price,0
185,Demand Sites and Catchments\New_Magma\Other_Hay,Fraction Wetted,0.6
186,Demand Sites and Catchments\New_Magma\Other_Hay,Total Soil Thickness,2
187,Demand Sites and Catchments\New_Magma\Other_Hay,Irrigation Efficiency,60
188,Demand Sites and Catchments\New_Magma\Other_Hay,Loss to Groundwater,0
189,Demand Sites and Catchments\New_Magma\Other_Hay,Soil Water Capacity,SoilLibrary(Clay loam)
190,Demand Sites and Catchments\New_Magma\Other_Hay,Loss to Runoff,0
191,Demand Sites and Catchments\New_Magma\Other_Hay,Minimum Depth,0
192,Demand Sites and Catchments\New_Magma\Other_Hay,Target Depth,0
193,Demand Sites and Catchments\New_Magma\Other_Hay,Maximum Infiltration Rate,152.4
194,Demand Sites and Catchments\New_Magma\Other_Hay,Release Requirement,0
195,Demand Sites and Catchments\New_Magma\Other_Hay,Maximum Percolation Rate,3657.6
196,Demand Sites and Catchments\New_Magma\Other_Hay,Effective Precipitation,100
197,Demand Sites and Catchments\New_Magma\Other_Hay,Fraction Covered,0
198,Demand Sites and Catchments\New_Magma\Other_Hay,Direct Recharge to GW,0.0
199,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Alfalfa.xlsx, A3:B12))*0.184"
200,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Potential Yield,"MultiCropValues(2692, 2692, 2692, 2692)"
201,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Irrigation Schedule,"IrrigationSchedule(1, Mar 1, May 14, % of RAW, 100, % Depletion, 100,  2, May 15, Jun 28, % of RAW, 100, % Depletion, 100,  3, Jun 29, Aug 12, % of RAW, 100, % Depletion, 100,  4, Aug 13, Sep 26, % of RAW, 100, % Depletion, 100)"
202,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Market Price,0
203,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Fraction Wetted,0.6
204,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Total Soil Thickness,2
205,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Irrigation Efficiency,60
206,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Loss to Groundwater,0
207,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Soil Water Capacity,SoilLibrary(Loam)
208,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Loss to Runoff,0
209,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Minimum Depth,0
210,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Target Depth,0
211,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Maximum Infiltration Rate,243.8
212,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Release Requirement,0
213,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Maximum Percolation Rate,7315.2
214,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Effective Precipitation,100
215,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Fraction Covered,0
216,Demand Sites and Catchments\New_Magma\Alfalfa_haylage,Direct Recharge to GW,0.0
217,Demand Sites and Catchments\New_Magma\Sorghum_silage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Sorghum.xlsx, A3:B12))*0.4709"
218,Demand Sites and Catchments\New_Magma\Sorghum_silage,Potential Yield,45086
219,Demand Sites and Catchments\New_Magma\Sorghum_silage,Irrigation Schedule,"IrrigationSchedule(1, Apr 1, Aug 8, % of RAW, 100, % Depletion, 100)"
220,Demand Sites and Catchments\New_Magma\Sorghum_silage,Market Price,0
221,Demand Sites and Catchments\New_Magma\Sorghum_silage,Fraction Wetted,0.6
222,Demand Sites and Catchments\New_Magma\Sorghum_silage,Total Soil Thickness,2
223,Demand Sites and Catchments\New_Magma\Sorghum_silage,Irrigation Efficiency,60
224,Demand Sites and Catchments\New_Magma\Sorghum_silage,Loss to Groundwater,0
225,Demand Sites and Catchments\New_Magma\Sorghum_silage,Soil Water Capacity,SoilLibrary(Loam)
226,Demand Sites and Catchments\New_Magma\Sorghum_silage,Loss to Runoff,0
227,Demand Sites and Catchments\New_Magma\Sorghum_silage,Minimum Depth,0
228,Demand Sites and Catchments\New_Magma\Sorghum_silage,Target Depth,0
229,Demand Sites and Catchments\New_Magma\Sorghum_silage,Maximum Infiltration Rate,243.8
230,Demand Sites and Catchments\New_Magma\Sorghum_silage,Release Requirement,0
231,Demand Sites and Catchments\New_Magma\Sorghum_silage,Maximum Percolation Rate,7315.2
232,Demand Sites and Catchments\New_Magma\Sorghum_silage,Effective Precipitation,100
233,Demand Sites and Catchments\New_Magma\Sorghum_silage,Fraction Covered,0
234,Demand Sites and Catchments\New_Magma\Sorghum_silage,Direct Recharge to GW,0.0
235,Demand Sites and Catchments\New_Magma\Corn_silage,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Corn.xlsx, A3:B12))*0.9125"
236,Demand Sites and Catchments\New_Magma\Corn_silage,Potential Yield,65712
237,Demand Sites and Catchments\New_Magma\Corn_silage,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Aug 1, % of RAW, 100, % Depletion, 100)"
238,Demand Sites and Catchments\New_Magma\Corn_silage,Market Price,0
239,Demand Sites and Catchments\New_Magma\Corn_silage,Fraction Wetted,0.6
240,Demand Sites and Catchments\New_Magma\Corn_silage,Total Soil Thickness,2
241,Demand Sites and Catchments\New_Magma\Corn_silage,Irrigation Efficiency,60
242,Demand Sites and Catchments\New_Magma\Corn_silage,Loss to Groundwater,0
243,Demand Sites and Catchments\New_Magma\Corn_silage,Soil Water Capacity,SoilLibrary(Loam)
244,Demand Sites and Catchments\New_Magma\Corn_silage,Loss to Runoff,0
245,Demand Sites and Catchments\New_Magma\Corn_silage,Minimum Depth,0
246,Demand Sites and Catchments\New_Magma\Corn_silage,Target Depth,0
247,Demand Sites and Catchments\New_Magma\Corn_silage,Maximum Infiltration Rate,243.8
248,Demand Sites and Catchments\New_Magma\Corn_silage,Release Requirement,0
249,Demand Sites and Catchments\New_Magma\Corn_silage,Maximum Percolation Rate,7315.2
250,Demand Sites and Catchments\New_Magma\Corn_silage,Effective Precipitation,100
251,Demand Sites and Catchments\New_Magma\Corn_silage,Fraction Covered,0
252,Demand Sites and Catchments\New_Magma\Corn_silage,Direct Recharge to GW,0.0
253,Demand Sites and Catchments\New_Magma\Pima_Cotton,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_Cotton.xlsx, A3:B12))*0.0322"
254,Demand Sites and Catchments\New_Magma\Pima_Cotton,Potential Yield,950
255,Demand Sites and Catchments\New_Magma\Pima_Cotton,Irrigation Schedule,"IrrigationSchedule(1, Mar 15, Oct 25, % of RAW, 100, % Depletion, 100)"
256,Demand Sites and Catchments\New_Magma\Pima_Cotton,Market Price,0
257,Demand Sites and Catchments\New_Magma\Pima_Cotton,Fraction Wetted,0.6
258,Demand Sites and Catchments\New_Magma\Pima_Cotton,Total Soil Thickness,2
259,Demand Sites and Catchments\New_Magma\Pima_Cotton,Irrigation Efficiency,60
260,Demand Sites and Catchments\New_Magma\Pima_Cotton,Loss to Groundwater,0
261,Demand Sites and Catchments\New_Magma\Pima_Cotton,Soil Water Capacity,SoilLibrary(Loam)
262,Demand Sites and Catchments\New_Magma\Pima_Cotton,Loss to Runoff,0
263,Demand Sites and Catchments\New_Magma\Pima_Cotton,Minimum Depth,0
264,Demand Sites and Catchments\New_Magma\Pima_Cotton,Target Depth,0
265,Demand Sites and Catchments\New_Magma\Pima_Cotton,Maximum Infiltration Rate,243.8
266,Demand Sites and Catchments\New_Magma\Pima_Cotton,Release Requirement,0
267,Demand Sites and Catchments\New_Magma\Pima_Cotton,Maximum Percolation Rate,7315.2
268,Demand Sites and Catchments\New_Magma\Pima_Cotton,Effective Precipitation,100
269,Demand Sites and Catchments\New_Magma\Pima_Cotton,Fraction Covered,0
270,Demand Sites and Catchments\New_Magma\Pima_Cotton,Direct Recharge to GW,0.0
271,Demand Sites and Catchments\New_Magma\VegFruit,Area,"Interp( XLRange(C:\Users\amounir\Dropbox (ASU)\344\NEW WEAP-MABIA Model\data\AREA_TIME_SERIES_STEP2\Percentage\newmagma_VegFruit.xlsx, A3:B12))"
272,Demand Sites and Catchments\New_Magma\VegFruit,Potential Yield,33407
273,Demand Sites and Catchments\New_Magma\VegFruit,Irrigation Schedule,"IrrigationSchedule(1, Nov 15, Apr 20, % of RAW, 100, % Depletion, 100)"
274,Demand Sites and Catchments\New_Magma\VegFruit,Market Price,0
275,Demand Sites and Catchments\New_Magma\VegFruit,Fraction Wetted,0.6
276,Demand Sites and Catchments\New_Magma\VegFruit,Total Soil Thickness,2
277,Demand Sites and Catchments\New_Magma\VegFruit,Irrigation Efficiency,60
278,Demand Sites and Catchments\New_Magma\VegFruit,Loss to Groundwater,0
279,Demand Sites and Catchments\New_Magma\VegFruit,Soil Water Capacity,SoilLibrary(Loam)
280,Demand Sites and Catchments\New_Magma\VegFruit,Loss to Runoff,0
281,Demand Sites and Catchments\New_Magma\VegFruit,Minimum Depth,0
282,Demand Sites and Catchments\New_Magma\VegFruit,Target Depth,0
283,Demand Sites and Catchments\New_Magma\VegFruit,Maximum Infiltration Rate,243.8
284,Demand Sites and Catchments\New_Magma\VegFruit,Release Requirement,0
285,Demand Sites and Catchments\New_Magma\VegFruit,Maximum Percolation Rate,7315.2
286,Demand Sites and Catchments\New_Magma\VegFruit,Effective Precipitation,100
287,Demand Sites and Catchments\New_Magma\VegFruit,Fraction Covered,0
